id,intent,expected_action,expected_reason
101,technical_issue,AUTO_HANDLE,Seller Start Selling page shows Looking for something error; routine browser troubleshooting.
102,other,ESCALATE,Spanish follow-up about external sellers lacks prior thread context; ambiguous ask.
103,refund_return,ESCALATE,Promised Prime cancellation refund still missing after 3-5 day window.
104,other,ESCALATE,Japanese fragment only names phone case; insufficient context for intent.
105,delivery_issue,ESCALATE,Delivery cancelled after long wait by courier; failed delivery needs investigation.
106,delivery_issue,ESCALATE,Carrier missing from orders and customer chasing Amazon; frustrated delivery accountability.
107,other,AUTO_HANDLE,Simple thank-you with no support request.
108,delivery_issue,ESCALATE,Repeating missed next-day Prime deliveries; recurring SLA failure.
109,other,AUTO_HANDLE,Positive recognition for agent Zara; no issue to resolve.
110,complaint,ESCALATE,Sarcastic question about earliest ETA meaning eternity; angry delay complaint.
111,delivery_issue,ESCALATE,Missed guaranteed Lieferdatum; late-delivery claim needs order lookup.
112,other,AUTO_HANDLE,Successful delivery and fit confirmation; positive update only.
113,delivery_issue,ESCALATE,Prime/OnTrac deliveries running days behind promised dates; pattern delay report.
114,delivery_issue,ESCALATE,Same package lost twice by delivery partner; lost-package investigation needed.
115,delivery_issue,ESCALATE,Order not received yet with no order details; missing package needs lookup.
116,order_status,ESCALATE,Customer chasing any status update across channels; frustrated lack of tracking info.
117,complaint,ESCALATE,Threatens consequences unless latest product is sent today.
118,delivery_issue,ESCALATE,Order undelivered for over a month; long-delay delivery investigation.
119,refund_return,ESCALATE,Item untraceable per care team; customer requests payment refund.
120,complaint,ESCALATE,Damaged-goods feedback blocked while positives post; alleges being ripped off.
121,other,ESCALATE,Follow-up so you can't help me lacks original request context.
122,complaint,ESCALATE,Agents refuse help and identity; customer-service failure complaint.
123,order_status,AUTO_HANDLE,Spanish customer paid for same-day arrival and asks if package will arrive today.
124,delivery_issue,ESCALATE,Preordered game arrived days after release; missed release-date delivery.
125,order_status,AUTO_HANDLE,Tracking shows delivery date pending despite promised tomorrow; clear status check.
126,delivery_issue,ESCALATE,"Gift item shipped with only a label, no box; packaging failure for gift."
127,account_access,ESCALATE,Wants to redeem Amazon Pay while account on hold; account-hold access is sensitive.
128,product_question,AUTO_HANDLE,Feature request to add UPI as a payment method.
129,order_status,AUTO_HANDLE,Asking where preordered WWII game is; routine where-is-my-order.
130,delivery_issue,AUTO_HANDLE,Says delivery was due today and should already be delivered; clear lateness.
131,product_question,AUTO_HANDLE,Echo Plus shown out of stock for wedding gift; availability question.
132,delivery_issue,AUTO_HANDLE,ETA slipped to Oct 12 after carrier handoff; clear transit delay question.
133,other,AUTO_HANDLE,Thanks for resolved help; positive closure only.
134,other,AUTO_HANDLE,Simple thank-you with no further ask.
135,delivery_issue,ESCALATE,Items missing from delivery and CS called useless; missing items plus anger.
136,payment_issue,ESCALATE,Japanese fake unpaid-balance/legal-threat message; likely scam/unauthorized billing.
137,delivery_issue,ESCALATE,Tracking shows NY routing though customer not in NY; misrouted shipment.
138,account_access,ESCALATE,Terse German Kindle .com account follow-up without full context.
139,delivery_issue,ESCALATE,Honor 6x ordered Nov 6 still undelivered by Nov 16; multi-day late delivery.
140,delivery_issue,ESCALATE,Next-day order slipped to the 21st; angry delayed-delivery complaint.
141,payment_issue,ESCALATE,Payment issues with registration details shared publicly; billing needs secure channel.
142,delivery_issue,ESCALATE,Systematic late deliveries with order ID after prior issues; recurring delay.
143,refund_return,ESCALATE,"Requests price-difference refund; policy exception, not a canned FAQ."
144,delivery_issue,ESCALATE,Nothing received as of now; vague missing-delivery follow-up.
145,other,ESCALATE,Link-only tweet with no readable request; ambiguous.
146,delivery_issue,ESCALATE,Still no package for given order number; missing delivery needs investigation.
147,cancellation_change,AUTO_HANDLE,Asks if turning off auto-renewal cancels subscription; clear membership policy question.
148,technical_issue,ESCALATE,Still awaiting Kindle issue resolution; unresolved device problem.
149,other,AUTO_HANDLE,Polite thanks and tip of the hat; no issue.
150,other,AUTO_HANDLE,Asks for Maggi Nutri Quiz and contest winner list; contest info request.
151,technical_issue,AUTO_HANDLE,New app not working; routine app troubleshooting.
152,complaint,ESCALATE,Accuses Amazon employees of stealing packages; serious theft allegation.
153,delivery_issue,ESCALATE,Blames incompetent delivery person for failed drop; delivery failure follow-up.
154,order_status,AUTO_HANDLE,Spanish ask why package arrival date keeps changing; clear ETA status question.
155,product_question,AUTO_HANDLE,Asks when Blackberry Keyone discount will return; pricing/availability question.
156,cancellation_change,ESCALATE,Cancellation not reflected despite email; cancel status needs account check.
157,payment_issue,ESCALATE,Card charged without consent despite no Prime renew; unauthorized charge.
158,other,AUTO_HANDLE,Positive early-delivery and packing feedback; no issue.
159,delivery_issue,ESCALATE,Parcel left on doorstep with false neighbor note; unsafe delivery practice.
160,payment_issue,ESCALATE,Japanese fake Amazon billing/scam SMS; fraud handling.
