example_id,customer_message,reply,evidence,expected_action,human_correctness,human_groundedness,human_helpfulness,human_tone,human_safety,judge_correctness,judge_groundedness,judge_helpfulness,judge_tone,judge_safety,judge_rationale,judge_needs_human
17,Why @115823  not refunding money in my bank ? i want money  n i hv nothing to purchase from @115850,[ESCALATED] low intent confidence; weak historical match,@422019 What were you advised by the agent when you asked him what happened to your order? ^SA,ESCALATE,4.0,5.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,"The response indicates escalation but lacks specific information or guidance for the customer, which may leave them unsatisfied.",True
100,For some reason I've just received some fake blood from @115830 though the package was supposed to contain a phone screen protector,[ESCALATED] weak historical match,"@738779 Hi, I'm sorry to hear this. What options did you choose when arranging the return on your account? ^KK",ESCALATE,4.0,4.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,4.0,"The response does not address the customer's issue directly and lacks relevant information about the fake blood or the return process, making it less helpful and grounded.",True
196,"@AmazonHelp Just a couple of things in a row that shipped much later than expected. One because it it just flat didn't ship, and another because it said it was in stock, but then wasn't.",[ESCALATED] low intent confidence; weak historical match,"@626717 Got it! When you have the time, could you provide us with a link to the page you saw this so we could get it escalated? ^TK",ESCALATE,4.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,5.0,"The response acknowledges the issue but lacks specific guidance or reassurance for the customer, and the escalation seems to be based on low intent confidence without addressing the customer's concerns directly.",True
133,"This is how its done.
thanks @115821 @115850 @AmazonHelp
appreciate it. 😀 https://t.co/4c9geJd3Gs",[ESCALATED] weak historical match,@798481 I'm sorry for the error. Certainly this is not intended. Please connect with our support team here: https://t.co/2t6DQoUmNZ for assistance on it. ^RW,AUTO_HANDLE,2.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,4.0,5.0,"The system reply does not directly address the customer's message and lacks relevance to the context provided, but maintains a polite tone.",True
168,"@115830 I ordered one latest Nintendo Mario on 18OCT. You delivered two today, charged for both. Returned one. Auto-email says no refund.",[ESCALATED] weak historical match,"@452018 Hello, I am sorry to hear about this. You can cancel and manage your subscription here:http:https://t.co/a4Yc9lKczA ^CR",ESCALATE,4.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,The response does not address the customer's specific issue regarding the refund for the returned item and instead provides irrelevant information about managing a subscription.,True
169,"Nice one @115830 parcel left on show outside my house, and the items inside are damaged! Useless... https://t.co/zWk0P0nzSh",[ESCALATED] weak historical match,@236687 Oh no! Let's talk about this in real time! Please call or chat with us here: https://t.co/5zGJTyV7jd ^BA,ESCALATE,5.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,"The response acknowledges the issue but lacks specific guidance or support for the customer, and the escalation is appropriate given the situation.",True
107,@AmazonHelp Thank you,[ESCALATED] low intent confidence; weak historical match; requires human judgment,"@181486 If by helping you mean, gifting your brother an iPhone 8 on his birthday, I'm afraid not. ^AB",AUTO_HANDLE,2.0,2.0,1.0,3.0,5.0,2.0,2.0,1.0,2.0,5.0,"The response does not address the customer's gratitude and instead provides an irrelevant and negative comment, which is unhelpful and off-topic.",True
157,@AmazonHelp Yes I do have prime account already neither I renewed it nor added any new services to this. Despite of that my card was charged without my consent,[ESCALATED] weak historical match,@422019 What were you advised by the agent when you asked him what happened to your order? ^SA,ESCALATE,5.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,4.0,"The response indicates escalation but lacks specific guidance or acknowledgment of the customer's concern about unauthorized charges, which could lead to confusion.",True
102,@AmazonHelp Son vendedores externos. Influye en algo? Gracias por vuestra rápida respuesta!,[ESCALATED] low intent confidence; weak historical match; requires human judgment,@706571 ¡No hay de qué! Diviértete jugando! ^UK,ESCALATE,4.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,5.0,"The response acknowledges the customer's message but does not address their question about external sellers, leading to a lack of helpfulness and groundedness.",True
151,@117634 All new app is not working for me https://t.co/ohtvz3yxrV,[ESCALATED] weak historical match,"@132737 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^HS",AUTO_HANDLE,2.0,4.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,"The response does not address the customer's issue with the app and lacks relevant information or guidance, leading to a weak historical match.",True
