id,conversation_id,customer_message,agent_reply,intent,expected_action,expected_reason
1,526173,@AmazonHelp commande devant arriver hier(précommandé en octobre)j'ai contacté amazon mon colis sera relivré lundi en espérant que le transporteur trouve,@241743 J'espère que tout rentrera dans l'ordre le plus rapidement possible ^SN,,,
2,1013779,@AmazonHelp checking my hub to see if I received that email.,@359877 Please keep us posted! We'd love to help. ^BE,,,
3,958777,"@AmazonHelp At this point I want to leave amazon, just need to recover my domain & S3 data. What do I do??",@347490 We're sorry for the trouble and appreciate your patience. Have you received an e-mail from our support team for this? ^WM,,,
4,14859,腹が立つね、Amazon架空詐欺メール。昔来た別の釣りメールは「弁護士の○○先生の方から」という中学生レベルの文言が有って可愛かったけど。,"@119215 こんにちわ。Amazonです。
最近、Amazonを騙るフィッシングが増えているようでございます。身に覚えのないメールに連絡や、個人情報の登録等をいただかないようお気を付けください。TY",,,
5,2094043,"@AmazonHelp Nel mio, vero e con prime, l'ordine risulta in consegna il 10 novembre.
Il quello simulato invece https://t.co/dczRI8YTwn",@207161 Contatta la nostra Assistenza cliccando qui: https://t.co/YtcS8zMWhk. ^MA,,,
6,363667,"@AmazonHelp Seems dey are not willing to help. Ive a response from them asking to send the modem over to Mumbai. Will that help?
https://t.co/zM2SFGmnTd","@202184 I am afraid, we would require a Service Denial letter from an authorized service centre to work on this for you. ^MP",,,
7,180818,@AmazonHelp same information i've provided multiple time. but I got only Sorry @115851 will let you know next step. let me know if he did not turn.,@158494 I'm sure our team would reach out to you soon with an update. (2/2) ^VM,,,
8,923597,@115821 @AmazonHelp Why would you even bother sending a warped LP? I want my money back or the same LP sent again. Im not sending this back. https://t.co/BhwVvgXPCw,"@216858 I'm sorry about this, Eugenio! Who was the seller, Amazon or third-party? If unsure, check here: https://t.co/Y5jpI9gRhE ^FR",,,
9,25287,@AmazonHelp Will I get a refund? I paid extra for next day delivery.,"@121470 When you can, please reach us via phone or chat here: https://t.co/oGDklGgbCZ so we can look into available options. ^SJ",,,
10,392160,@AmazonHelp @115851 see the example how they redirect there customer. Just make ur customers run. Dissapointed service u have. Y 2 stay with u then?,@208862 Sorry for the hassle Keshav. Could you please confirm if you've shared your details from the above link? ^HN,,,
11,315008,"@AmazonHelp WHEN YOU HAVE UNDERSTOOD MY PROBLEM THEN SOLVE IT, THAT'S ALL.",@159170 Our team is working on the issue and will get back to you with an update soon. We appreciate your patience. ^PJ,,,
12,1145964,@115821 when do I get the PS4 I ordered,@389720 Thanks for reaching out! We aim to deliver by the date given in your order confirmation e-mail. Have we missed that date? ^TK,,,
13,2200804,@2600 deuxième colis qui disparaît alors qu'il est marqué livré... Amazon rembourse mais je n'ose plus commander sur le site. Fini le temps où l'on pouvait commander les yeux fermés...,"@643637 Bonjour, je suis désolé par rapport à cet incident. Avez-vous contaté notre SAV dans ce sens ? ^AR",,,
14,674278,"@AmazonHelp hi! I am not a member of amazon prime, why has this been deducted??? https://t.co/EziKprvQf9",@280807 Have you been in touch with us here:  https://t.co/JzP7hlA23B ?^CD,,,
15,646734,@AmazonHelp Very disappointed that my parcel has arrived extremely dented. Items that can be damaged should be boxed not packaged in a wrap around cardboard sleeve. https://t.co/WLGrT9qDoG,"@147454 I'm so sorry that your item arrived in this condition, Helen! Was the item damaged, or just the packaging itself? Also, if you could please take a moment to provide your input on the packaging here: https://t.co/drhyW9fTor  Thank you! ^SP",,,
16,1138367,Hey @117795 I'm really disappointed - the courier for my order didn't ring the doorbell and didn't leave voicemail.,"@388138 We'd like to assist, if possible! Was your order left unattended, or marked as ""undeliverable"" (or similar)? ^RM",,,
17,701538,Why @115823  not refunding money in my bank ? i want money  n i hv nothing to purchase from @115850,"@199122 Sorry for the situation, Manish. We do not have an option to transfer the funds from Amazon pay balance to bank account at this moment. ^KA",,,
18,743377,"Ridiculous customer service by @115850. Unprofessional behavior, lack of analytic skills & Arrogant agents are service for AmazonIndia",@297744 This isn't what we've expected you to go through. Could you please let us know if any issue of yours went unaddressed? ^AS,,,
