id,conversation_id,brand,customer_message,agent_reply,intent,expected_action,expected_reason,resolved,label_status
27,317248,AmazonHelp,BIGGEST SCAM IN AMAZON LIVE. BUT NO ONE READY TO TAKE ACTION TODAY'S NEW FAKE ORDER TOTAL -80 @AmazonHelp @115851 @132981 @4822 https://t.co/hElUsfj19O,@191711 https://t.co/VfdY0ghuEA so that we have more info on this. (2/2) ^VM,complaint,ESCALATE,Alleges Amazon Live fake/scam orders; fraud investigation.,True,second_pass_reviewed
30,1128019,AmazonHelp,Very disappointed with @115821's customer service 😴,"@385940 Oh no! This isn't what we like to hear. Without giving account/personal details, please let us know what's going on. ^BH",complaint,ESCALATE,Disappointed with CS but no specific issue described.,True,second_pass_reviewed
33,224767,AmazonHelp,"@AmazonHelp No one has made contact with me!!
Is it not ""within 12 business hours"" and ""Earliest"" yet?",@169701 You must have received a correspondence from us on this. Please find it here: https://t.co/ubzNHWZvL2. ^YP,complaint,ESCALATE,No callback within promised window; unresolved prior case.,True,second_pass_reviewed
37,2819216,AmazonHelp,@115821 i love you $5 field and stream magazine 1 yr subscription,@785818 I've been herring rumors that it's a fintastic magazine! ^KL,other,AUTO_HANDLE,Positive magazine subscription praise only.,True,second_pass_reviewed
42,2499115,AmazonHelp,@AmazonHelp will the #OnePlus5T be available for pre-orders tomorrow after launch or it'll go for sale directly on 21/28 Nov?,@250919 We have responded to you here : https://t.co/u9LesHsfx4 . Please check. ^SS,product_question,AUTO_HANDLE,Asks OnePlus5T pre-order vs direct sale availability.,True,second_pass_reviewed
44,1469131,AmazonHelp,"@AmazonHelp Amazon lost it at the warehouse then shifts del date to due date+3 no updates, no pkg, order refunded after wasting 4days time.",@461006 Please contact us via phone or chat so we can explore available options with you:  https://t.co/hApLpMlfHN ^MW,delivery_issue,ESCALATE,Warehouse loss and delayed dates before eventual refund.,True,second_pass_reviewed
48,321389,AmazonHelp,@AmazonHelp @115850 what to do with that link i have spoken to your support team several times but they were not able to help me on that scenario,@192570 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG,complaint,ESCALATE,Multiple failed support attempts on undescribed scenario.,True,second_pass_reviewed
51,1561935,AmazonHelp,@AmazonHelp @482486 Voice profiles too!,@482487 I've noted your comment and will be sure to forward this as a feedback internally. Thanks! ^MP,other,ESCALATE,Fragmentary feature comment without clear request.,True,second_pass_reviewed
52,421759,AmazonHelp,"@AmazonHelp I have already replied, called customer care still no result",@215477 Thank you for replying to the email and we shall get back to you soon. ^SH,complaint,ESCALATE,Replied and called CS with no result; needs escalation.,True,second_pass_reviewed
54,2918633,AmazonHelp,"Well that's a shipping status I haven't seen yet, @AmazonHelp. I really need this to come in before my surgery... https://t.co/zelOKX8MfT","@807836 I'm so sorry for the delay! We'd love to take a closer look into this but are unable to view your Amazon account through Twitter. For further information on your order, please reach us by phone or chat: https://t.co/hApLpMlfHN ^LR",delivery_issue,ESCALATE,Odd shipping status and time-sensitive need before surgery.,True,second_pass_reviewed
58,1406575,AmazonHelp,"returned my order n sent you courier bill copies,when u gonna initiate my refund? email : __email__ @2005 @AmazonHelp",@446941 Refund will be initiated as soon as the package reaches the fulfillment center.  ^RI (1/3),refund_return,ESCALATE,Asks when refund will start after return and courier bills; funds still outstanding.,True,second_pass_reviewed
